縣市名稱,鄉鎮市區名稱,村里名稱,鄉鎮市區代碼,村里代碼,人口數,面積,人口密度
新北市,板橋區,民安里,65000010,115,2223,42103.894,527.97966857887
新北市,板橋區,陽明里,65000010,116,3090,66271.3107,466.26511040169
新北市,板橋區,朝陽里,65000010,117,3639,46315.521,785.69773618654
新北市,板橋區,松柏里,65000010,118,2360,84532.7927,279.18159623277
新北市,板橋區,文聖里,65000010,119,4139,52509.5129,788.23812513408
新北市,板橋區,居仁里,65000010,120,3281,57168.7829,573.91461450896
新北市,板橋區,莊敬里,65000010,121,4478,82946.926,539.8632855906
新北市,板橋區,東安里,65000010,122,2925,42292.504,691.61192252887
新北市,板橋區,五權里,65000010,123,4484,132903.4104,337.38788090573
新北市,板橋區,溪福里,65000010,124,14989,1252555.1108,119.66738924906
新北市,板橋區,大觀里,65000010,125,3877,69868.644,554.89841766501
新北市,板橋區,歡園里,65000010,126,1325,599147.9665,22.114737495316
新北市,三重區,大有里,65000020,001,5513,304169.0987,181.24786586021
新北市,三重區,二重里,65000020,002,1903,195751.9316,97.214877240067
新北市,三重區,頂崁里,65000020,003,2418,1412198.0737,17.122244004092
新北市,三重區,谷王里,65000020,004,1087,593198.48,18.324389502819
新北市,三重區,中興里,65000020,005,3964,928855.6021,42.676170451446
新北市,三重區,德厚里,65000020,006,452,390560.2278,11.573119017932
新北市,三重區,成功里,65000020,007,6314,1924178.426,32.814004744485
新北市,三重區,福祉里,65000020,008,5794,168771.1196,343.30518241108
新北市,三重區,福民里,65000020,009,3709,66647.3947,556.51087588575
新北市,三重區,過田里,65000020,010,8999,149557.9315,601.70663700307
新北市,三重區,錦田里,65000020,011,2285,53324.2057,428.51083668369
新北市,三重區,重明里,65000020,012,3745,126632.936,295.73664784966
新北市,三重區,光田里,65000020,013,4664,83609.9288,557.82848603502
新北市,三重區,光陽里,65000020,014,6514,153777.3712,423.59938586335
新北市,三重區,田心里,65000020,015,4292,117352.2742,365.73641450572
新北市,三重區,福田里,65000020,016,3886,54801.8058,709.10072091092
新北市,三重區,田中里,65000020,017,6524,103544.5698,630.06684103293
新北市,三重區,田安里,65000020,018,6589,125907.8467,523.3192507612
新北市,三重區,三民里,65000020,019,3588,67600.0736,530.76865289093
新北市,三重區,光明里,65000020,020,7708,267546.3592,288.09960348733
新北市,三重區,光正里,65000020,021,2198,214887.2071,102.28621934563
新北市,三重區,同安里,65000020,022,1588,395182.7213,40.183943133346
新北市,三重區,同慶里,65000020,023,1911,456591.5692,41.853598027407
新北市,三重區,菜寮里,65000020,024,2341,41971.5607,557.75862535414
新北市,三重區,永春里,65000020,025,2101,26225.2698,801.13570461723
新北市,三重區,中正里,65000020,026,1515,23369.0993,648.29199471971
新北市,三重區,吉利里,65000020,027,1529,27181.7979,562.5087809221
新北市,三重區,大同里,65000020,028,1953,34827.2286,560.76813416041
新北市,三重區,中民里,65000020,029,1406,26592.511,528.72028519608
新北市,三重區,平和里,65000020,030,1643,27639.9093,594.43031529774
新北市,三重區,大安里,65000020,031,1816,32842.6154,552.9401291226
新北市,三重區,仁德里,65000020,032,2139,48425.7537,441.70711585641
新北市,三重區,忠孝里,65000020,033,1871,35462.3552,527.60173131422
新北市,三重區,仁義里,65000020,034,1308,41634.459,314.16284285092
新北市,三重區,光榮里,65000020,035,1549,29107.1773,532.17114941613
新北市,三重區,光輝里,65000020,036,1659,85023.2102,195.12319002041
新北市,三重區,福星里,65000020,037,939,20352.665,461.36464192773
新北市,三重區,福利里,65000020,038,2361,203810.9528,115.84264572458
新北市,三重區,清和里,65000020,039,3897,415690.9711,93.747525708527
新北市,三重區,永興里,65000020,040,1409,231370.6595,60.897954954396
新北市,三重區,中山里,65000020,041,2802,148120.1083,189.1708041642
新北市,三重區,大園里,65000020,042,2778,42195.8174,658.35909129704
新北市,三重區,國隆里,65000020,043,2882,57602.2422,500.32774592236
新北市,三重區,重陽里,65000020,044,3938,116606.2423,337.71776899117
新北市,三重區,民生里,65000020,045,4599,78207.1704,588.0534964349
新北市,三重區,重新里,65000020,046,1609,35964.9207,447.38038307422
新北市,三重區,正德里,65000020,047,1201,24093.7913,498.46866565994
新北市,三重區,正義里,65000020,048,1944,65430.0425,297.11122379295
新北市,三重區,正安里,65000020,049,2119,37495.5712,565.13340967586
新北市,三重區,自強里,65000020,050,1961,29683.5471,660.63533222416
新北市,三重區,文化里,65000020,051,2495,69112.6819,361.00465665767
新北市,三重區,中央里,65000020,052,1861,39619.1573,469.72225731818
新北市,三重區,雙園里,65000020,053,1094,27047.1556,404.4787615301
新北市,三重區,錦通里,65000020,054,1667,30469.0008,547.11344521675
新北市,三重區,錦安里,65000020,055,1957,33035.7814,592.38798571297
新北市,三重區,長安里,65000020,056,2353,43480.205,541.16580177117
新北市,三重區,光華里,65000020,057,2088,42874.5123,487.00262416746
新北市,三重區,長生里,65000020,058,944,16743.0065,563.81749597959
新北市,三重區,開元里,65000020,059,1494,144608.1586,103.31367292578
新北市,三重區,大德里,65000020,060,879,22144.7961,396.93298417862
新北市,三重區,長元里,65000020,061,2716,40720.1252,666.99205531912
新北市,三重區,長江里,65000020,062,2075,101428.5448,204.57751849753
新北市,三重區,長泰里,65000020,063,2444,38821.7744,629.54360993865
新北市,三重區,長福里,65000020,064,1742,67223.1515,259.13691356764
新北市,三重區,介壽里,65000020,065,1340,23554.1882,568.90094815494
新北市,三重區,萬壽里,65000020,066,2195,31039.6528,707.15997184092
新北市,三重區,錦江里,65000020,067,2548,99839.8267,255.20877631892
新北市,三重區,龍濱里,65000020,068,3519,169159.7515,208.02820817575
新北市,三重區,龍門里,65000020,069,2067,39219.9506,527.02769085079
新北市,三重區,秀江里,65000020,070,1500,24532.1908,611.44151870855
新北市,三重區,奕壽里,65000020,071,1828,120654.4576,151.50704220645
新北市,三重區,三安里,65000020,072,2877,66146.0304,434.94673566987
新北市,三重區,福安里,65000020,073,3196,66820.3347,478.29751442415
新北市,三重區,信安里,65000020,074,2180,37643.2725,579.12074461645
新北市,三重區,安慶里,65000020,075,2227,32689.3132,681.26240107119
新北市,三重區,幸福里,65000020,076,4923,202878.3933,242.65767881552
新北市,三重區,六合里,65000020,077,4073,97895.5486,416.05568978853
新北市,三重區,六福里,65000020,078,6030,108980.913,553.30789897126
新北市,三重區,順德里,65000020,079,2404,53641.2335,448.162699316
新北市,三重區,承德里,65000020,080,1967,149217.8372,131.82070166073
新北市,三重區,瑞德里,65000020,081,2606,57608.9648,452.36015072432
新北市,三重區,崇德里,65000020,082,4304,98080.0203,438.82535778798
新北市,三重區,厚德里,65000020,083,3905,62652.1227,623.28295223108
新北市,三重區,維德里,65000020,084,3223,79682.8085,404.47871512963
新北市,三重區,尚德里,65000020,085,3362,83699.7642,401.6737719794
新北市,三重區,培德里,65000020,086,4106,167601.4529,244.9859430783
新北市,三重區,永德里,65000020,087,5601,123742.1932,452.63461517506
新北市,三重區,永盛里,65000020,088,3725,87958.3664,423.49581426515
新北市,三重區,永福里,65000020,089,5982,125062.9108,478.31926841735
新北市,三重區,永清里,65000020,090,6360,82691.6465,769.12242882962
新北市,三重區,永安里,65000020,091,4482,65547.3496,683.78050788494
新北市,三重區,永煇里,65000020,092,2751,52444.7075,524.55245364844
新北市,三重區,溪美里,65000020,093,8342,179446.091,464.87499134211
新北市,三重區,福隆里,65000020,094,4806,151336.4906,317.57046703976
新北市,三重區,五常里,65000020,095,4514,615991.722,73.280205541463
新北市,三重區,五福里,65000020,096,3899,173003.6328,225.37099001311
新北市,三重區,仁忠里,65000020,097,3458,54562.088,633.77339958104
新北市,三重區,慈福里,65000020,098,2429,35565.3554,682.96800993025
新北市,三重區,慈生里,65000020,099,2493,46657.3607,534.32083654059
新北市,三重區,慈惠里,65000020,100,2412,34169.6312,705.88997167754
新北市,三重區,慈愛里,65000020,101,3869,59121.7269,654.41254896768
新北市,三重區,慈化里,65000020,102,2800,52078.9467,537.64528229216
新北市,三重區,慈祐里,65000020,103,5049,97912.0034,515.66711176089
新北市,三重區,五華里,65000020,104,5186,236089.0507,219.66287655542
新北市,三重區,富貴里,65000020,105,5899,750504.0375,78.600509860681
新北市,三重區,富華里,65000020,106,3461,41143.1781,841.20871547354
新北市,三重區,富福里,65000020,107,2292,63202.9836,362.64110797453
新北市,三重區,碧華里,65000020,108,6339,284612.4854,222.72389038348
新北市,三重區,五谷里,65000020,109,1959,697092.6448,28.102433939208
新北市,三重區,博愛里,65000020,110,4901,73520.9267,666.61292505172
新北市,三重區,福德里,65000020,111,4121,105159.1631,391.8821601957
新北市,三重區,永吉里,65000020,112,3245,73931.5176,438.91970641761
新北市,三重區,永發里,65000020,113,6172,269302.071,229.18501803872
新北市,三重區,永順里,65000020,114,5616,64643.0658,868.77067640564
新北市,三重區,永豐里,65000020,115,6346,95191.8896,666.65343304625
新北市,三重區,立德里,65000020,116,3554,113116.1899,314.19021478198
新北市,三重區,福樂里,65000020,117,3990,74560.6921,535.13451761535
新北市,三重區,仁華里,65000020,118,4555,106651.1893,427.09322135989
新北市,三重區,五順里,65000020,119,4189,86674.1579,483.3043783169
新北市,中和區,中原里,65000030,001,4984,1396687.7076,35.684426610758
新北市,中和區,平河里,65000030,002,9673,405301.5967,238.66177875336
新北市,中和區,信和里,65000030,003,4612,69804.377,660.70355444903
新北市,中和區,仁和里,65000030,004,4703,126385.4131,372.11572796608
新北市,中和區,中正里,65000030,005,4401,60839.5913,723.37764044118
新北市,中和區,建和里,65000030,006,3925,94091.5801,417.14678357283
新北市,中和區,連和里,65000030,007,2419,204567.5813,118.24943056117
新北市,中和區,連城里,65000030,008,6745,136897.8604,492.70309852118
新北市,中和區,力行里,65000030,009,6302,122066.0831,516.27772760081
新北市,中和區,枋寮里,65000030,010,3775,159675.6558,236.41675251538
新北市,中和區,漳和里,65000030,011,3649,124991.335,291.94023729725
新北市,中和區,廟美里,65000030,012,4723,106854.8881,442.00130513262
新北市,中和區,福真里,65000030,013,4351,75604.6264,575.49388273943
新北市,中和區,福善里,65000030,014,4339,92469.0863,469.2379014023
新北市,中和區,福美里,65000030,015,4779,110762.6506,431.46313076766
新北市,中和區,福祥里,65000030,016,5319,81359.3862,653.76599411956
新北市,中和區,瓦■里,65000030,017,5655,116712.2429,484.5250043601
新北市,中和區,福和里,65000030,018,3948,72247.0731,546.45812357484
新北市,中和區,佳和里,65000030,019,4992,117257.8183,425.72854180419
新北市,中和區,安樂里,65000030,020,3760,113584.3437,331.03153810801
新北市,中和區,安和里,65000030,021,3312,65576.5839,505.05833073748
新北市,中和區,安平里,65000030,022,5728,96839.2718,591.49556719405
新北市,中和區,中安里,65000030,023,4473,146816.5104,304.66600710052
新北市,中和區,泰安里,65000030,024,3750,94715.6645,395.92183825095
新北市,中和區,新南里,65000030,025,8492,122831.6146,691.35295727033
新北市,中和區,南山里,65000030,026,5551,86752.2057,639.86845696996
新北市,中和區,秀山里,65000030,027,4692,123306.2504,380.51599045299
新北市,中和區,秀成里,65000030,028,3640,55920.4093,650.92513548537
新北市,中和區,秀福里,65000030,029,5004,112974.6794,442.93110868523
新北市,中和區,秀景里,65000030,030,6542,779248.1917,83.952713264923
新北市,中和區,秀明里,65000030,031,5030,93642.0236,537.15199721506
新北市,中和區,秀峰里,65000030,032,4164,92586.696,449.74064092318
新北市,中和區,秀仁里,65000030,033,3334,59350.5367,561.74723690409
新北市,中和區,頂南里,65000030,034,3262,78960.7544,413.11662037515
新北市,中和區,華新里,65000030,035,7641,248982.1334,306.88949024806
新北市,中和區,東南里,65000030,036,4096,89966.8674,455.27871741814
新北市,中和區,華南里,65000030,037,4768,202758.9335,235.15609979276
新北市,中和區,忠孝里,65000030,038,5404,122236.2027,442.09488520049
新北市,中和區,崇南里,65000030,039,4187,68017.5087,615.57679486135
新北市,中和區,景南里,65000030,040,3266,147814.4219,220.95272964701
新北市,中和區,橫路里,65000030,041,395,2494388.9795,1.5835541419012
新北市,中和區,內南里,65000030,042,5404,1255262.4561,43.050757821514
新北市,中和區,壽南里,65000030,043,2616,126114.9532,207.42980381172
新北市,中和區,外南里,65000030,044,7077,103074.7149,686.58933540257
新北市,中和區,復興里,65000030,045,5610,111964.7009,501.05077358359
新北市,中和區,和興里,65000030,046,4574,77276.1454,591.90322916909
新北市,中和區,景平里,65000030,047,5523,129130.2114,427.70781059838
新北市,中和區,景新里,65000030,048,3863,65730.0815,587.70655867816
新北市,中和區,景福里,65000030,049,5228,139786.5389,373.99881570428
新北市,中和區,景安里,65000030,050,4951,96057.683,515.41946936197
新北市,中和區,景文里,65000030,051,3576,79237.5569,451.30114303158
新北市,中和區,錦和里,65000030,052,6022,641507.8981,93.872577685104
新北市,中和區,錦昌里,65000030,053,2405,344841.9465,69.74209560089
新北市,中和區,灰■里,65000030,054,739,1760219.8676,4.1983391597983
