縣市,鄉鎮,村里,開票所數,蔡蘇得票,馬吳得票,宋林得票,無效票,選舉人數,藍綠比例
臺南市,左鎮區,榮和里,1,328,134,7,6,1959,-0.41991341991342
臺南市,左鎮區,中正里,1,288,256,17,18,2484,-0.058823529411765
臺南市,左鎮區,二寮里,1,101,54,3,0,627,-0.30322580645161
臺南市,左鎮區,光和里,1,164,112,8,3,1251,-0.18840579710145
臺南市,北門區,三光里,2,567,219,13,30,3531,-0.44274809160305
臺南市,北門區,永隆里,1,127,200,9,24,1605,0.22324159021407
臺南市,北門區,錦湖里,1,486,173,11,9,3135,-0.47496206373293
臺南市,北門區,保吉里,2,567,318,18,18,4095,-0.28135593220339
臺南市,北門區,慈安里,1,318,177,9,15,2286,-0.28484848484848
臺南市,北門區,仁里里,1,308,140,9,15,1956,-0.375
臺南市,北門區,雙春里,1,204,137,2,3,1578,-0.19648093841642
臺南市,北門區,玉港里,2,398,143,19,15,2352,-0.47134935304991
臺南市,北門區,中樞里,1,353,111,3,27,2067,-0.52155172413793
臺南市,北門區,北門里,2,370,240,14,12,2670,-0.21311475409836
臺南市,北門區,鯤江里,2,379,137,15,27,2400,-0.46899224806202
臺南市,北門區,永華里,1,164,77,0,3,1137,-0.36099585062241
臺南市,北門區,東壁里,1,351,172,13,12,2361,-0.34225621414914
臺南市,新市區,永就里,3,1035,732,45,48,7287,-0.17147707979626
臺南市,新市區,港墘里,3,1522,875,54,42,9543,-0.26992073425115
臺南市,新市區,大社里,3,2092,815,67,54,11805,-0.43928448572411
臺南市,新市區,大洲里,1,344,140,13,12,1986,-0.42148760330579
臺南市,新市區,新市里,3,1141,698,38,33,7689,-0.24089178901577
臺南市,新市區,社內里,2,1178,424,33,45,6309,-0.47066167290886
臺南市,新市區,豐華里,1,424,223,16,15,2673,-0.31066460587326
臺南市,新市區,新和里,5,2484,1652,98,57,16701,-0.20116054158607
臺南市,新市區,三舍里,1,622,348,24,9,4056,-0.28247422680412
臺南市,新市區,大營里,3,1140,806,40,51,8064,-0.17163412127441
臺南市,歸仁區,新厝里,2,1096,571,56,48,6783,-0.31493701259748
臺南市,歸仁區,崙頂里,2,1189,689,38,45,7347,-0.26624068157614
臺南市,歸仁區,後市里,3,1392,963,59,78,9585,-0.18216560509554
臺南市,歸仁區,沙崙里,1,300,176,4,12,1995,-0.26050420168067
臺南市,歸仁區,許厝里,3,1380,862,65,57,9117,-0.23104371097235
臺南市,歸仁區,南興里,3,1586,1106,70,42,10752,-0.17830609212481
